"","Date","Close.Last","Volume","Open","High","Low"
"1",2023-04-03,5.11,33616570,4.99,5.145,4.94
"2",2023-03-31,5.01,19003290,4.91,5.055,4.87
"3",2023-03-30,4.97,20233540,5.11,5.16,4.865
"4",2023-03-29,5,28097840,5.14,5.2084,4.83
"5",2023-03-28,5.15,89811470,4.51,5.5,4.46
"6",2023-03-27,4.55,20314450,4.51,4.58,4.3
"7",2023-03-24,4.47,10528260,4.4,4.54,4.38
"8",2023-03-23,4.47,19451510,4.44,4.68,4.34
"9",2023-03-22,4.34,31446600,4.73,4.75,4.31
"10",2023-03-21,4.41,20847080,4.33,4.4458,4.2115
"11",2023-03-20,4.27,17581340,4.25,4.38,4.14
"12",2023-03-17,4.18,27433560,4.3,4.34,4.1078
"13",2023-03-16,4.39,28217760,4.22,4.65,4.06
"14",2023-03-15,4.21,36323290,4.53,4.6101,4.15
"15",2023-03-14,4.64,64871310,5.48,5.51,4.36
"16",2023-03-13,5.46,15518080,5.44,5.56,5.24
"17",2023-03-10,5.38,15574720,5.56,5.62,5.3
"18",2023-03-09,5.65,16178470,5.74,5.92,5.56
"19",2023-03-08,5.84,19862140,6.04,6.125,5.6715
"20",2023-03-07,6.01,16229860,6.23,6.35,6
"21",2023-03-06,6.25,26242750,6.575,6.75,6.25
"22",2023-03-03,6.58,34069580,6.2,6.69,6.14
"23",2023-03-02,6.1,28341060,6.24,6.37,5.9
"24",2023-03-01,6.57,41177370,6.8,7.1067,6.46
"25",2023-02-28,7.14,113458500,7.78,8.53,7.11
"26",2023-02-27,7.61,122677600,6.31,8.19,6.19
"27",2023-02-24,6.2,23398220,6.13,6.2399,5.99
"28",2023-02-23,6.23,42144280,6.29,6.65,5.91
"29",2023-02-22,6.26,68667230,6.42,6.79,6.02
"30",2023-02-21,6.1,73513020,5.47,6.2,5.44
"31",2023-02-17,5.24,27592370,5.32,5.53,5.21
"32",2023-02-16,5.25,32085460,5.24,5.49,5.05
"33",2023-02-15,5.17,46713320,4.56,5.27,4.53
"34",2023-02-14,4.5,36199220,4.55,4.62,4.39
"35",2023-02-13,4.68,26219430,4.75,4.91,4.58
"36",2023-02-10,4.9,38670770,5.21,5.21,4.64
"37",2023-02-09,5.36,29113320,5.87,5.88,5.14
"38",2023-02-08,5.72,31424400,6.12,6.13,5.61
"39",2023-02-07,6.18,47410970,6.94,6.96,6.05
"40",2023-02-06,6.8,62513920,6.31,7.33,6.05
"41",2023-02-03,6.08,52353360,6.095,6.77,6.03
"42",2023-02-02,6.08,49690890,6.28,6.45,5.93
"43",2023-02-01,5.71,36970920,5.3,5.795,5.27
"44",2023-01-31,5.35,21881430,5.1,5.35,5
"45",2023-01-30,5.01,34116830,5.28,5.34,4.95
"46",2023-01-27,5.51,33469610,5.25,5.615,5.101
"47",2023-01-26,5.28,21597750,5.5,5.6099,5.1
"48",2023-01-25,5.33,22975090,5.43,5.47,5.28
"49",2023-01-24,5.5,24293900,5.95,5.95,5.4
"50",2023-01-23,5.66,34092880,5.53,5.92,5.42
"51",2023-01-20,5.52,31271940,5.53,5.805,5.45
"52",2023-01-19,5.52,29734890,5.47,5.65,5.26
"53",2023-01-18,5.65,62125420,6.37,6.55,5.46
"54",2023-01-17,6.07,57607180,5.37,6.17,5.06
"55",2023-01-13,5.06,25920320,4.84,5.14,4.77
"56",2023-01-12,5.02,41961160,5.09,5.35,4.74
"57",2023-01-11,4.92,53994970,4.43,4.98,4.31
"58",2023-01-10,4.06,12844630,3.91,4.075,3.91
"59",2023-01-09,3.93,17164030,3.92,4.02,3.79
"60",2023-01-06,3.85,15305410,3.98,3.99,3.77
"61",2023-01-05,3.96,12757430,4.03,4.06,3.86
"62",2023-01-04,4.09,17999300,4,4.155,3.84
"63",2023-01-03,3.93,22100500,4.14,4.39,3.8732
"64",2022-12-30,4.07,18450830,4.04,4.09,3.9
"65",2022-12-29,4.14,21225350,3.9,4.19,3.86
"66",2022-12-28,3.84,29744270,4.01,4.13,3.81
"67",2022-12-27,4.03,21676510,4.2,4.21,4
"68",2022-12-23,4.4,30311150,4.7,4.82,4.31
"69",2022-12-22,4.91,55461400,4.14,4.98,4.11
"70",2022-12-21,5.3,19607640,5.14,5.37,5.05
