,month,averagePrice
1,12/1/2013,12.42051111
2,1/1/2014,12.97820952
3,2/1/2014,13.76821579
4,3/1/2014,15.10697143
5,4/1/2014,14.5710381
6,5/1/2014,13.98810476
7,6/1/2014,15.09437619
8,7/1/2014,14.54689091
9,8/1/2014,14.70786667
10,9/1/2014,15.21743333
11,10/1/2014,14.49996522
12,11/1/2014,16.06512105
13,12/1/2014,16.15362727
14,1/1/2015,17.03273
15,2/1/2015,19.55862105
16,3/1/2015,21.97867273
17,4/1/2015,21.06477619
18,5/1/2015,18.606165
19,6/1/2015,18.36822727
20,7/1/2015,19.80292727
21,8/1/2015,18.61536667
22,9/1/2015,16.76655238
23,10/1/2015,16.73121364
24,11/1/2015,16.42598
25,12/1/2015,15.06902727
26,1/1/2016,13.59083158
27,2/1/2016,13.551995
28,3/1/2016,17.71548182
29,4/1/2016,17.4309381
30,5/1/2016,18.17224762
31,6/1/2016,17.2242
32,7/1/2016,18.45935
33,8/1/2016,18.51492174
34,9/1/2016,19.56237619
35,10/1/2016,19.97136667
36,11/1/2016,21.1034
37,12/1/2016,20.94622381
38,1/1/2017,21.419805
39,2/1/2017,19.91966316
40,3/1/2017,19.03733043
41,4/1/2017,19.35047895
42,5/1/2017,16.63889545
43,6/1/2017,14.98272273
44,7/1/2017,13.30111
45,8/1/2017,8.933652174
46,9/1/2017,9.48778
47,10/1/2017,9.029659091
48,11/1/2017,8.140761905
49,12/1/2017,9.32588
50,1/1/2018,8.600347619
51,2/1/2018,8.976173684
52,3/1/2018,9.242566667
53,4/1/2018,10.50305714
54,5/1/2018,10.06135909
55,6/1/2018,9.818904762
56,7/1/2018,10.2785
57,8/1/2018,11.33382609
58,9/1/2018,12.63944737
59,10/1/2018,12.14791304
60,11/1/2018,9.786571429
61,12/1/2018,8.603889474
62,1/1/2019,8.788366667
63,2/1/2019,8.615810526
64,3/1/2019,9.405433333
65,4/1/2019,9.837480952
66,5/1/2019,8.467495455
67,6/1/2019,6.749275
68,7/1/2019,6.310886364
69,8/1/2019,7.130554545
70,9/1/2019,7.108295
71,10/1/2019,6.035686957
72,11/1/2019,5.558735
73,12/1/2019,4.961395238
74,1/1/2020,4.331761905
75,2/1/2020,4.286726316
76,3/1/2020,2.366081818
77,4/1/2020,1.938338095
78,5/1/2020,2.92179
79,6/1/2020,3.364931818
80,7/1/2020,2.671304545
81,8/1/2020,3.240738095
82,9/1/2020,3.551814286
83,10/1/2020,2.139736364
84,11/1/2020,2.061035
85,12/1/2020,1.966259091
86,1/1/2021,2.814805263
87,2/1/2021,4.458794737
88,3/1/2021,6.742878261
89,4/1/2021,6.232971429
90,5/1/2021,8.49372
91,6/1/2021,34.03486364
92,7/1/2021,25.95104286
93,8/1/2021,22.94122727
94,9/1/2021,27.27979048
95,10/1/2021,23.83335714
96,11/1/2021,25.07587619
97,12/1/2021,17.73692273
98,1/1/2022,12.485945
99,2/1/2022,10.93090526
100,3/1/2022,11.64792174
101,4/1/2022,11.47431
102,5/1/2022,8.084180952
103,6/1/2022,7.997942857
104,7/1/2022,9.41923
105,8/1/2022,12.03210435
106,9/1/2022,8.545714286
107,10/1/2022,6.538095238
108,11/1/2022,6.776666667
109,12/1/2022,5.59952381
110,1/1/2023,4.961
111,2/1/2023,5.853157895
112,3/1/2023,5.126086957
113,4/1/2023,5.11
